index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
89,263,377152,21421,21421n,travel,"( ( ( ( ( Herculaneum ( is ( ( ( smaller ( -LRB- ( ( ( only ( a fraction ) ) ( has ( been recovered ) ) ) -RRB- ) ) ) and ) ( less ( renowned ( than Pompeii ) ) ) ) ) ) , ) but ) ( ( its ( ( ( ( very compactness ) and ) better ) preservation ) ) ( ( give ( ( a ( ( more immediate ) sense ) ) ( of ( ( the ( ( shape and ) ambience ) ) ( of ( ( ( ( ( a ( whole ( Roman town ) ) ) , ) ( ( this one ) just ) ) ( 7 km ) ) ( -LRB- ( ( 4 1/2 miles ) -RRB- ) ) ) ) ) ) ) ) ( from Vesuvius ) ) ) ) . )",( There ( ( has ( been ( no ( attempts ( to ( excavate ( ( the remains ) ( of Herculaneum ) ) ) ) ) ) ) ) . ) ),"(ROOT (S (S (NP (NNP Herculaneum)) (VP (VBZ is) (ADJP (ADJP (JJR smaller)) (PRN (-LRB- -LRB-) (S (NP (RB only) (DT a) (NN fraction)) (VP (VBZ has) (VP (VBN been) (VP (VBN recovered))))) (-RRB- -RRB-)) (CC and) (ADJP (RBR less) (JJ renowned) (PP (IN than) (S (VP (VBG Pompeii)))))))) (, ,) (CC but) (S (NP (PRP$ its) (ADJP (ADJP (RB very) (JJ compactness)) (CC and) (ADJP (JJR better))) (NN preservation)) (VP (VBP give) (NP (NP (DT a) (ADJP (RBR more) (JJ immediate)) (NN sense)) (PP (IN of) (NP (NP (DT the) (NN shape) (CC and) (NN ambience)) (PP (IN of) (NP (NP (DT a) (JJ whole) (NNP Roman) (NN town)) (, ,) (ADVP (NP (DT this) (NN one)) (RB just)) (NP (CD 7) (NN km)) (PRN (-LRB- -LRB-) (NP (CD 4 1/2) (NNS miles)) (-RRB- -RRB-))))))) (PP (IN from) (NP (NNP Vesuvius))))) (. .)))",(ROOT (S (NP (EX There)) (VP (VBZ has) (VP (VBN been) (NP (DT no) (NNS attempts) (S (VP (TO to) (VP (VB excavate) (NP (NP (DT the) (NNS remains)) (PP (IN of) (NP (NNP Herculaneum)))))))))) (. .))),"Herculaneum is smaller (only a fraction has been recovered) and less renowned than Pompeii, but its very compactness and better preservation give a more immediate sense of the shape and ambience of a whole Roman town, this one just 7 km (4 1/2 miles) from Vesuvius.",There has been no attempts to excavate the remains of Herculaneum.,neutral,neutral
39,89,313478,61886,61886c,travel,"( ( ( The ( artist 's ) ) masterpiece ) ( ( is ( ( ( ( ( the Anastasis ) ( -LRB- ( Resurrection -RRB- ) ) ) ( in ( ( the vault ) ( of ( the apse ) ) ) ) ) , ) ( ( ( showing ( Christ ( ( ( ( pulling ( ( Adam and ) Eve ) ) ( from ( their tombs ) ) ) , ) ( while ( ( ( the figure ) ( of Satan ) ) ( lies bound ) ) ) ) ) ) and ) ( helpless ( beneath ( His feet ) ) ) ) ) ) . ) )",( ( The Anastasis ) ( ( depicts ( Christ ( ( rising ( from ( ( the dead ) ( on ( the ( third day ) ) ) ) ) ) ( after ( the crucifixion ) ) ) ) ) . ) ),"(ROOT (S (NP (NP (DT The) (NN artist) (POS 's)) (NN masterpiece)) (VP (VBZ is) (NP (NP (NP (DT the) (NNPS Anastasis)) (PRN (-LRB- -LRB-) (NP (NNP Resurrection)) (-RRB- -RRB-))) (PP (IN in) (NP (NP (DT the) (NN vault)) (PP (IN of) (NP (DT the) (NN apse))))) (, ,) (UCP (VP (VBG showing) (NP (NP (NNP Christ)) (VP (VBG pulling) (NP (NNP Adam) (CC and) (NNP Eve)) (PP (IN from) (NP (PRP$ their) (NNS tombs))) (, ,) (SBAR (IN while) (S (NP (NP (DT the) (NN figure)) (PP (IN of) (NP (NNP Satan)))) (VP (VBZ lies) (ADJP (VBN bound)))))))) (CC and) (ADJP (JJ helpless) (PP (IN beneath) (NP (PRP$ His) (NNS feet))))))) (. .)))",(ROOT (S (NP (DT The) (NNPS Anastasis)) (VP (VBZ depicts) (NP (NP (NNP Christ)) (VP (VBG rising) (PP (IN from) (NP (NP (DT the) (NN dead)) (PP (IN on) (NP (DT the) (JJ third) (NN day))))) (PP (IN after) (NP (DT the) (NN crucifixion)))))) (. .))),"The artist's masterpiece is the Anastasis (Resurrection) in the vault of the apse, showing Christ pulling Adam and Eve from their tombs, while the figure of Satan lies bound and helpless beneath His feet.",The Anastasis depicts Christ rising from the dead on the third day after the crucifixion. ,contradiction,contradiction
22,393,368208,109178,109178e,travel,( ( Most common ) ( ( are ( the ( tiny mouse-deer ) ) ) . ) ),( ( Mouse deer ) ( ( are ( ( the ( most common ) ) ( in Malaysia ) ) ) . ) ),(ROOT (S (NP (JJS Most) (NN common)) (VP (VBP are) (NP (DT the) (JJ tiny) (NN mouse-deer))) (. .))),(ROOT (S (NP (NNP Mouse) (NNS deer)) (VP (VBP are) (NP (NP (DT the) (RBS most) (JJ common)) (PP (IN in) (NP (NNP Malaysia))))) (. .))),Most common are the tiny mouse-deer.,Mouse deer are the most common in Malaysia.,entailment,entailment
48,403,341739,83302,83302c,fiction,( You ( ( ( are not ) ( aware ( of ( what ( has happened ) ) ) ) ) ? ) ),( ( The man ) ( ( ( asked ( the ( other woman ) ) ) ( if ( she ( was ( feeling well ) ) ) ) ) . ) ),(ROOT (S (NP (PRP You)) (VP (VBP are) (RB not) (ADJP (JJ aware) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ has) (VP (VBN happened)))))))) (. ?))),(ROOT (S (NP (DT The) (NN man)) (VP (VBD asked) (NP (DT the) (JJ other) (NN woman)) (SBAR (IN if) (S (NP (PRP she)) (VP (VBD was) (VP (VBG feeling) (ADVP (RB well))))))) (. .))),You are not aware of what has happened?,The man asked the other woman if she was feeling well.,contradiction,contradiction
98,462,112189,116753,116753n,fiction,"( ( ( ( No hoss ) , ) ( no ( nothin ' ) ) ) . )","( ( If ( you ( have ( a horse ) ) ) ) ( , ( you ( ( 'll ( get everything ) ) . ) ) ) )","(ROOT (NP (NP (DT No) (NNS hoss)) (, ,) (NP (DT no) (NN nothin) ('' ')) (. .)))","(ROOT (S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP have) (NP (DT a) (NN horse))))) (, ,) (NP (PRP you)) (VP (MD 'll) (VP (VB get) (NP (NN everything)))) (. .)))","No hoss, no nothin'.","If you have a horse, you'll get everything. ",neutral,neutral
42,56,372719,90380,90380c,travel,"( ( The bridge ) ( ( is ( ( ( a ( ( single ( , unsupported ) ) ( span ( 1,006 m ) ) ) ) ( -LRB- ( ( 3,300 ft ) -RRB- ) ) ) ( in length ) ) ) . ) )",( One ( ( can ( ( cross ( the bridge ) ) ( with ( a ( single stride ) ) ) ) ) . ) ),"(ROOT (S (NP (DT The) (NN bridge)) (VP (VBZ is) (NP (NP (DT a) (ADJP (JJ single) (, ,) (JJ unsupported)) (NN span) (CD 1,006) (NN m)) (PRN (-LRB- -LRB-) (NP (CD 3,300) (NNS ft)) (-RRB- -RRB-)) (PP (IN in) (NP (NN length))))) (. .)))",(ROOT (S (NP (PRP One)) (VP (MD can) (VP (VB cross) (NP (DT the) (NN bridge)) (PP (IN with) (NP (DT a) (JJ single) (NN stride))))) (. .))),"The bridge is a single, unsupported span 1,006 m (3,300 ft) in length.",One can cross the bridge with a single stride.,contradiction,contradiction
71,306,105839,66495,66495n,slate,( ( The ( original progressives ) ) ( ( chose ( to ( swim ( with ( ( this ( basic current ) ) ( of history ) ) ) ) ) ) . ) ),( Progressives ( ( know ( everything ( about ( what ( happens ( in ( current ( ( times and ) history ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (JJ original) (NNS progressives)) (VP (VBD chose) (S (VP (TO to) (VP (VB swim) (PP (IN with) (NP (NP (DT this) (JJ basic) (NN current)) (PP (IN of) (NP (NN history))))))))) (. .))),(ROOT (S (NP (NNS Progressives)) (VP (VBP know) (NP (NP (NN everything)) (PP (IN about) (SBAR (WHNP (WP what)) (S (VP (VBZ happens) (PP (IN in) (NP (JJ current) (NNS times) (CC and) (NN history))))))))) (. .))),The original progressives chose to swim with this basic current of history.,Progressives know everything about what happens in current times and history.,neutral,neutral
26,420,344793,66086,66086e,travel,"( ( The ( ( 1,500-acre ( -LRB- ( 607-hectare -RRB- ) ) ) site ) ) ( ( is ( ( ( ( a ( speed-freak 's ) ) ( ( ( a ( ( 11.2-mile ( -LRB- ( 21.2-km -RRB- ) ) ) ( tri-oval ( super speedway ) ) ) ) , ) ( smaller clay ) ) ) and ) ( ( ( ( ( ( ( ( paved ovals ) , ) ( a ( drag strip ) ) ) , ) ( a ( road track ) ) ) , ) and ) ( a motocrosecourse ) ) ) ) . ) )",( ( The site ) ( ( is ( said ( to ( be ( ( 1500 acres ) ( in size ) ) ) ) ) ) . ) ),"(ROOT (S (NP (DT The) (ADJP (ADJP (JJ 1,500-acre)) (PRN (-LRB- -LRB-) (ADJP (JJ 607-hectare)) (-RRB- -RRB-))) (NN site)) (VP (VBZ is) (NP (NP (NP (DT a) (NN speed-freak) (POS 's)) (NP (NP (DT a) (ADJP (ADJP (JJ 11.2-mile)) (PRN (-LRB- -LRB-) (ADJP (JJ 21.2-km)) (-RRB- -RRB-))) (JJ tri-oval) (JJ super) (NN speedway)) (, ,) (NP (JJR smaller) (NN clay)))) (CC and) (NP (NP (JJ paved) (NNS ovals)) (, ,) (NP (DT a) (NN drag) (NN strip)) (, ,) (NP (DT a) (NN road) (NN track)) (, ,) (CC and) (NP (DT a) (NN motocrosecourse))))) (. .)))",(ROOT (S (NP (DT The) (NN site)) (VP (VBZ is) (VP (VBN said) (S (VP (TO to) (VP (VB be) (NP (NP (CD 1500) (NNS acres)) (PP (IN in) (NP (NN size))))))))) (. .))),"The 1,500-acre (607-hectare) site is a speed-freak's a 11.2-mile (21.2-km) tri-oval super speedway, smaller clay and paved ovals, a drag strip, a road track, and a motocrosecourse.",The site is said to be 1500 acres in size.,entailment,entailment
75,184,129144,84817,84817n,fiction,( ( ( Ca ( ` ( daan ( ( watched ( as ( the village ) ) ) elders ) ) ) ) ( of ( Fena Set ) ) ) ( ( were ( ( dragged ( from ( their homes ) ) ) ( on ( ( the ( western hills ) ) ( of ( the village ) ) ) ) ) ) . ) ),( ( Ca ( ` daan ) ) ( ( rode ( hard ( to ( ( stop ( ( the elders ) ( of ( Fena Set ) ) ) ) ( from ( being ( ( ( dragged ( from ( their homes ) ) ) and ) slain ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (ADJP (JJ Ca)) (`` `) (JJ daan) (ADJP (JJ watched) (PP (IN as) (NP (DT the) (NN village)))) (NNS elders)) (PP (IN of) (NP (NNP Fena) (NNP Set)))) (VP (VBD were) (VP (VBN dragged) (PP (IN from) (NP (PRP$ their) (NNS homes))) (PP (IN on) (NP (NP (DT the) (JJ western) (NNS hills)) (PP (IN of) (NP (DT the) (NN village))))))) (. .))),(ROOT (S (NP (JJS Ca) (`` `) (NNS daan)) (VP (VBD rode) (ADJP (JJ hard) (S (VP (TO to) (VP (VB stop) (NP (NP (DT the) (NNS elders)) (PP (IN of) (NP (NNP Fena) (NNP Set)))) (PP (IN from) (S (VP (VBG being) (VP (VP (VBN dragged) (PP (IN from) (NP (PRP$ their) (NNS homes)))) (CC and) (VP (VBN slain))))))))))) (. .))),Ca'daan watched as the village elders of Fena Set were dragged from their homes on the western hills of the village.,Ca'daan rode hard to stop the elders of Fena Set from being dragged from their homes and slain.,neutral,neutral
54,36,340307,114385,114385c,slate,"( ( ( Alesser ( , ( third category ) ) ) ( of ( arguments ( against ( NATO expansion ) ) ) ) ) ( ( ( concerns ( its effect ) ) ( on ( ( Eastern ( European countries ) ) ( that ( ( are not ) ( admitted ( to ( the club ) ) ) ) ) ) ) ) . ) )",( ( ( The ( third category ) ) ( of arguments ) ) ( ( was ( the ( most important ) ) ) . ) ),"(ROOT (S (NP (NP (JJ Alesser) (, ,) (JJ third) (NN category)) (PP (IN of) (NP (NP (NNS arguments)) (PP (IN against) (NP (NNP NATO) (NN expansion)))))) (VP (VBZ concerns) (NP (PRP$ its) (NN effect)) (PP (IN on) (NP (NP (JJ Eastern) (JJ European) (NNS countries)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (RB not) (VP (VBN admitted) (PP (TO to) (NP (DT the) (NN club)))))))))) (. .)))",(ROOT (S (NP (NP (DT The) (JJ third) (NN category)) (PP (IN of) (NP (NNS arguments)))) (VP (VBD was) (NP (DT the) (ADJP (RBS most) (JJ important)))) (. .))),"Alesser, third category of arguments against NATO expansion concerns its effect on Eastern European countries that are not admitted to the club.",The third category of arguments was the most important.,contradiction,contradiction
